Length, BubbleSort, InsertionSort, SelectioSort, StdSort
4, 7e-07, 5e-07, 4e-07, 1.4e-06
8, 1.4e-06, 9e-07, 1.1e-06, 1.7e-06
16, 3.501e-06, 3e-06, 2.4e-06, 3.401e-06
32, 1.3401e-05, 8.301e-06, 8.401e-06, 7.501e-06
64, 4.5104e-05, 3.8704e-05, 3.5903e-05, 1.5102e-05
128, 0.00023042, 0.000135211, 0.00011131, 3.1203e-05
256, 0.000794567, 0.000400933, 0.000338728, 9.7209e-05
512, 0.00273173, 0.00199667, 0.00166894, 0.000194016
1024, 0.0108372, 0.00666576, 0.00286524, 0.00023452
2048, 0.0292254, 0.0180124, 0.0105964, 0.00047514
4096, 0.121225, 0.066551, 0.0434575, 0.00100298
8192, 0.547798, 0.27097, 0.172206, 0.00213258
